epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2168,1.10014,1.25943,1.22456,0.80671,0.66545,0.77242,0.59537,0.93085,0.7686,1.03511,8.33e-06,8.33e-06,8.33e-06
2,41.0832,1.0621,1.06325,1.1623,0.80977,0.68972,0.78593,0.60897,0.91394,0.73946,1.02365,1.76733e-05,1.76733e-05,1.76733e-05
3,63.9526,1.03421,0.96903,1.19234,0.79868,0.7068,0.78967,0.6152,0.90331,0.72096,1.01682,2.68281e-05,2.68281e-05,2.68281e-05
4,86.2023,1.00986,0.95182,1.12347,0.80932,0.72611,0.79995,0.62775,0.88894,0.70396,1.00677,3.57944e-05,3.57944e-05,3.57944e-05
5,106.882,0.99448,0.919,1.13341,0.78427,0.74031,0.80695,0.63172,0.87412,0.691,0.99727,4.45722e-05,4.45722e-05,4.45722e-05
6,129.075,1.01442,0.92658,1.11797,0.80289,0.74137,0.81973,0.64616,0.86022,0.67822,0.99028,5.31615e-05,5.31615e-05,5.31615e-05
7,142.029,0.96834,0.85128,1.10757,0.85897,0.71458,0.82261,0.65128,0.84721,0.67269,0.98553,6.15623e-05,6.15623e-05,6.15623e-05
8,153.729,0.96572,0.81799,1.11025,0.86448,0.71678,0.83286,0.66317,0.83494,0.65247,0.97897,6.97746e-05,6.97746e-05,6.97746e-05
9,163.618,0.93901,0.83455,1.10363,0.80869,0.77477,0.84198,0.66993,0.82728,0.62182,0.97605,7.77984e-05,7.77984e-05,7.77984e-05
10,175.594,0.93605,0.80541,1.1046,0.7985,0.77939,0.84338,0.67748,0.82235,0.60548,0.97297,8.56337e-05,8.56337e-05,8.56337e-05
11,187.19,0.91381,0.77145,1.07159,0.83968,0.79732,0.86376,0.68666,0.80762,0.58716,0.96635,9.32805e-05,9.32805e-05,9.32805e-05
12,201.783,0.92783,0.74956,1.06413,0.84377,0.80778,0.87357,0.69769,0.80097,0.56849,0.9621,0.000100739,0.000100739,0.000100739
13,214.48,0.9149,0.73654,1.07543,0.8684,0.80529,0.87676,0.7059,0.79186,0.55094,0.95703,0.000104863,0.000104863,0.000104863
14,230.029,0.88968,0.73739,1.06919,0.87068,0.8185,0.88207,0.71606,0.78079,0.53611,0.95325,0.000103685,0.000103685,0.000103685
15,244.914,0.85705,0.67248,1.04554,0.91646,0.79062,0.88373,0.71769,0.77026,0.52727,0.94866,0.000102507,0.000102507,0.000102507
16,260.499,0.86152,0.71883,1.04889,0.90689,0.79969,0.88396,0.72196,0.75957,0.52057,0.94226,0.000101329,0.000101329,0.000101329
17,276.646,0.84024,0.66685,1.04004,0.87648,0.82935,0.88672,0.72515,0.74859,0.51304,0.9363,0.00010015,0.00010015,0.00010015
18,287.003,0.86829,0.719,1.06398,0.83496,0.85105,0.88982,0.7298,0.74199,0.50574,0.93141,9.89723e-05,9.89723e-05,9.89723e-05
19,301.658,0.84212,0.66248,1.03567,0.85201,0.84211,0.89258,0.73658,0.73864,0.49719,0.92934,9.77942e-05,9.77942e-05,9.77942e-05
20,312.785,0.82281,0.63718,1.0205,0.91867,0.81463,0.89439,0.74359,0.72835,0.4874,0.92601,9.66161e-05,9.66161e-05,9.66161e-05
21,328.652,0.8226,0.64654,1.03803,0.91721,0.81957,0.89776,0.74515,0.71918,0.4836,0.923,9.5438e-05,9.5438e-05,9.5438e-05
22,341.211,0.86373,0.64744,1.04345,0.90803,0.83165,0.89966,0.74782,0.71193,0.47778,0.91967,9.42599e-05,9.42599e-05,9.42599e-05
23,356.499,0.86201,0.67905,1.05028,0.89522,0.84411,0.9023,0.75082,0.70432,0.46948,0.917,9.30818e-05,9.30818e-05,9.30818e-05
24,370.422,0.75152,0.58514,1.00183,0.9129,0.84285,0.90344,0.75501,0.69508,0.46762,0.91241,9.19037e-05,9.19037e-05,9.19037e-05
25,388.638,0.82627,0.63708,1.03035,0.87994,0.86471,0.906,0.75902,0.69362,0.46869,0.9104,9.07256e-05,9.07256e-05,9.07256e-05
26,401.629,0.8203,0.62696,1.02271,0.87069,0.86691,0.90347,0.75887,0.69109,0.47096,0.90883,8.95475e-05,8.95475e-05,8.95475e-05
27,420.039,0.78201,0.58573,1.01124,0.88754,0.86038,0.9074,0.7629,0.68247,0.46469,0.90631,8.83694e-05,8.83694e-05,8.83694e-05
28,432.437,0.77502,0.61315,1.01664,0.90727,0.85352,0.90923,0.76433,0.6762,0.46135,0.90461,8.71913e-05,8.71913e-05,8.71913e-05
29,448.387,0.78203,0.60399,0.99529,0.91669,0.84795,0.91098,0.76683,0.673,0.45819,0.90264,8.60132e-05,8.60132e-05,8.60132e-05
30,461.899,0.74179,0.57951,0.99285,0.92827,0.83728,0.9092,0.77094,0.66854,0.45821,0.9002,8.48351e-05,8.48351e-05,8.48351e-05
31,475.127,0.76613,0.59633,0.99577,0.93819,0.83592,0.91087,0.77191,0.66317,0.45694,0.89677,8.3657e-05,8.3657e-05,8.3657e-05
32,489.667,0.79995,0.59291,0.99743,0.94342,0.83974,0.911,0.77513,0.65835,0.45528,0.89522,8.24789e-05,8.24789e-05,8.24789e-05
33,506.969,0.68616,0.53653,0.9838,0.93438,0.84344,0.9125,0.77753,0.65533,0.45039,0.89427,8.13008e-05,8.13008e-05,8.13008e-05
