epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,519.88,0.76873,0.58996,0.98913,0.9311,0.84524,0.9132,0.77952,0.65051,0.44707,0.89293,8.01227e-05,8.01227e-05,8.01227e-05
35,537.371,0.71765,0.55935,0.98134,0.92611,0.84296,0.91109,0.78422,0.64695,0.44298,0.89204,7.89446e-05,7.89446e-05,7.89446e-05
36,550.026,0.73787,0.58673,0.99765,0.928,0.84344,0.9119,0.78528,0.64392,0.4378,0.89049,7.77665e-05,7.77665e-05,7.77665e-05
37,567.738,0.7191,0.5306,0.95914,0.93717,0.8509,0.91623,0.78805,0.63659,0.43168,0.88751,7.65884e-05,7.65884e-05,7.65884e-05
38,580.781,0.73968,0.53492,0.9772,0.93729,0.8523,0.91689,0.79178,0.6299,0.42165,0.88518,7.54103e-05,7.54103e-05,7.54103e-05
39,596.039,0.73501,0.56566,0.98946,0.93063,0.85937,0.9203,0.79446,0.62432,0.41399,0.88352,7.42322e-05,7.42322e-05,7.42322e-05
40,609.638,0.74201,0.5586,0.97234,0.93869,0.85803,0.92107,0.79293,0.6188,0.40897,0.88104,7.30541e-05,7.30541e-05,7.30541e-05
41,626.367,0.73687,0.54569,0.99748,0.93628,0.86288,0.92414,0.79712,0.61302,0.40631,0.87879,7.1876e-05,7.1876e-05,7.1876e-05
42,640.791,0.71571,0.54942,0.99349,0.94107,0.86057,0.92736,0.79815,0.60807,0.40479,0.87641,7.06979e-05,7.06979e-05,7.06979e-05
43,656.66,0.69623,0.52998,0.97805,0.94582,0.85472,0.92829,0.80404,0.60349,0.40155,0.87438,6.95198e-05,6.95198e-05,6.95198e-05
44,671.33,0.72116,0.54806,0.96438,0.95205,0.85457,0.92585,0.80343,0.5977,0.40051,0.87246,6.83417e-05,6.83417e-05,6.83417e-05
45,687.598,0.72751,0.54566,0.97222,0.95507,0.85271,0.92652,0.80213,0.59459,0.40178,0.87066,6.71636e-05,6.71636e-05,6.71636e-05
46,701.635,0.68644,0.53907,0.97245,0.93982,0.86084,0.92756,0.8046,0.59436,0.39878,0.87016,6.59855e-05,6.59855e-05,6.59855e-05
47,718.332,0.70763,0.52486,0.97594,0.93221,0.87113,0.9293,0.80533,0.5911,0.3958,0.86903,6.48074e-05,6.48074e-05,6.48074e-05
48,732.597,0.68949,0.51734,0.96091,0.93253,0.86948,0.935,0.80827,0.58524,0.39368,0.86648,6.36293e-05,6.36293e-05,6.36293e-05
49,750.474,0.68452,0.51819,0.95886,0.93206,0.87631,0.93557,0.80692,0.58047,0.38928,0.86529,6.24512e-05,6.24512e-05,6.24512e-05
50,766.236,0.69568,0.51732,0.952,0.93556,0.87688,0.93516,0.8084,0.5777,0.38683,0.86385,6.12731e-05,6.12731e-05,6.12731e-05
51,784.447,0.66994,0.50066,0.93953,0.94142,0.87993,0.93574,0.80865,0.57267,0.38512,0.86183,6.0095e-05,6.0095e-05,6.0095e-05
52,800.495,0.68907,0.51213,0.96385,0.93908,0.87933,0.93532,0.81229,0.57001,0.38495,0.86018,5.89169e-05,5.89169e-05,5.89169e-05
53,818.027,0.66516,0.49749,0.96057,0.93058,0.88285,0.93538,0.81706,0.56858,0.38254,0.85939,5.77388e-05,5.77388e-05,5.77388e-05
54,832.483,0.66793,0.50121,0.95235,0.93046,0.88243,0.93744,0.81398,0.56946,0.38179,0.85885,5.65607e-05,5.65607e-05,5.65607e-05
55,850.727,0.6754,0.50024,0.95641,0.93533,0.881,0.9387,0.8131,0.56873,0.38212,0.85784,5.53826e-05,5.53826e-05,5.53826e-05
56,863.618,0.70157,0.52704,0.96826,0.93931,0.87752,0.93792,0.81263,0.56606,0.38165,0.85744,5.42045e-05,5.42045e-05,5.42045e-05
57,881.182,0.7273,0.53508,0.9605,0.93878,0.88022,0.93843,0.81358,0.56245,0.38132,0.8565,5.30264e-05,5.30264e-05,5.30264e-05
58,897.104,0.70344,0.50674,0.94548,0.94313,0.87934,0.9392,0.81093,0.56142,0.38163,0.85644,5.18483e-05,5.18483e-05,5.18483e-05
59,914.382,0.67227,0.51588,0.94005,0.93656,0.88559,0.93996,0.81372,0.56036,0.38118,0.85602,5.06702e-05,5.06702e-05,5.06702e-05
60,929.761,0.69416,0.51314,0.95986,0.93723,0.88435,0.94169,0.81543,0.558,0.3771,0.85502,4.94921e-05,4.94921e-05,4.94921e-05
61,948.777,0.68692,0.50705,0.96216,0.92964,0.88112,0.9417,0.81935,0.55621,0.37481,0.85444,4.8314e-05,4.8314e-05,4.8314e-05
62,963.339,0.61896,0.46956,0.93373,0.92784,0.88101,0.94144,0.81949,0.55231,0.37376,0.85364,4.71359e-05,4.71359e-05,4.71359e-05
63,981.843,0.70403,0.51772,0.9497,0.93857,0.87729,0.94276,0.82317,0.54828,0.3702,0.85249,4.59578e-05,4.59578e-05,4.59578e-05
64,998.028,0.65102,0.49935,0.95186,0.92776,0.88782,0.94206,0.82441,0.54423,0.36663,0.85132,4.47797e-05,4.47797e-05,4.47797e-05
65,1015.59,0.66659,0.47718,0.94858,0.93528,0.88989,0.94183,0.82502,0.54185,0.36537,0.85033,4.36016e-05,4.36016e-05,4.36016e-05
66,1029.98,0.64855,0.48864,0.95293,0.93762,0.88857,0.94165,0.8239,0.54187,0.36781,0.85003,4.24235e-05,4.24235e-05,4.24235e-05
67,1047.92,0.6673,0.48475,0.94879,0.93495,0.89002,0.94327,0.82482,0.54202,0.36444,0.84925,4.12454e-05,4.12454e-05,4.12454e-05
68,1061.63,0.59722,0.45417,0.92867,0.94739,0.88,0.94352,0.82631,0.5405,0.36043,0.84832,4.00673e-05,4.00673e-05,4.00673e-05
69,1080.08,0.62696,0.46363,0.94342,0.94503,0.88183,0.94436,0.82761,0.53931,0.35898,0.84769,3.88892e-05,3.88892e-05,3.88892e-05
70,1095.89,0.61984,0.49059,0.93806,0.94469,0.87997,0.94329,0.82537,0.53685,0.35759,0.84666,3.77111e-05,3.77111e-05,3.77111e-05
71,1114.85,0.6562,0.48722,0.94011,0.94284,0.88092,0.94356,0.82653,0.53506,0.35787,0.84585,3.6533e-05,3.6533e-05,3.6533e-05
72,1129.31,0.65322,0.49504,0.95706,0.94563,0.87943,0.94385,0.82823,0.53308,0.35714,0.84521,3.53549e-05,3.53549e-05,3.53549e-05
73,1147.9,0.61857,0.46525,0.93545,0.94461,0.88022,0.94355,0.82657,0.53106,0.35724,0.84471,3.41768e-05,3.41768e-05,3.41768e-05
74,1162.08,0.62496,0.46501,0.93866,0.94321,0.88509,0.94416,0.82737,0.5307,0.35732,0.84446,3.29987e-05,3.29987e-05,3.29987e-05
75,1179.1,0.63522,0.47736,0.93823,0.94827,0.88297,0.94391,0.82948,0.52945,0.35664,0.84422,3.18206e-05,3.18206e-05,3.18206e-05
76,1194.85,0.6372,0.47206,0.94116,0.94787,0.88322,0.94297,0.82878,0.52979,0.35488,0.84399,3.06425e-05,3.06425e-05,3.06425e-05
77,1209.36,0.66933,0.49837,0.94566,0.94339,0.88388,0.94335,0.82835,0.52937,0.35303,0.84413,2.94644e-05,2.94644e-05,2.94644e-05
78,1225,0.65465,0.48126,0.933,0.94422,0.88385,0.94294,0.82795,0.52835,0.35267,0.84349,2.82863e-05,2.82863e-05,2.82863e-05
79,1243.59,0.64741,0.46783,0.94041,0.94014,0.88296,0.94273,0.82724,0.52648,0.35258,0.84291,2.71082e-05,2.71082e-05,2.71082e-05
80,1259.18,0.62377,0.44751,0.93123,0.9403,0.88309,0.94285,0.82899,0.52443,0.35298,0.84233,2.59301e-05,2.59301e-05,2.59301e-05
81,1276.7,0.63685,0.47204,0.94783,0.94333,0.88094,0.94201,0.8295,0.52211,0.35166,0.84178,2.4752e-05,2.4752e-05,2.4752e-05
82,1292.34,0.61506,0.45231,0.93476,0.94397,0.88081,0.94304,0.83056,0.52024,0.35006,0.84145,2.35739e-05,2.35739e-05,2.35739e-05
83,1309.88,0.65892,0.47708,0.94245,0.94831,0.88099,0.94426,0.83199,0.51779,0.3494,0.84087,2.23958e-05,2.23958e-05,2.23958e-05
84,1321.63,0.59175,0.44048,0.93192,0.95407,0.87794,0.94475,0.83358,0.51566,0.34981,0.8404,2.12177e-05,2.12177e-05,2.12177e-05
85,1339.67,0.62924,0.45668,0.91963,0.95426,0.8772,0.9448,0.8344,0.51369,0.34796,0.84015,2.00396e-05,2.00396e-05,2.00396e-05
86,1355.72,0.62992,0.4698,0.93698,0.95515,0.87693,0.9456,0.83402,0.51243,0.34757,0.84,1.88615e-05,1.88615e-05,1.88615e-05
87,1373.01,0.58578,0.44214,0.94225,0.95616,0.87619,0.94497,0.83506,0.51126,0.34709,0.83991,1.76834e-05,1.76834e-05,1.76834e-05
88,1388.2,0.5917,0.44985,0.93951,0.95412,0.87583,0.94402,0.83432,0.50985,0.3469,0.83979,1.65053e-05,1.65053e-05,1.65053e-05
89,1405.95,0.62852,0.48707,0.93897,0.95258,0.87803,0.94448,0.83287,0.50939,0.34516,0.83924,1.53272e-05,1.53272e-05,1.53272e-05
90,1421.43,0.59812,0.44607,0.92775,0.95236,0.87867,0.94431,0.83085,0.50791,0.34468,0.83875,1.41491e-05,1.41491e-05,1.41491e-05
91,1444.7,0.63091,0.49462,0.90412,0.94577,0.88376,0.94538,0.82702,0.51322,0.34882,0.83996,1.2971e-05,1.2971e-05,1.2971e-05
92,1455.5,0.66034,0.54177,0.92251,0.94318,0.88203,0.9448,0.82657,0.52082,0.3533,0.84168,1.17929e-05,1.17929e-05,1.17929e-05
93,1472.52,0.64628,0.48059,0.91678,0.94889,0.87437,0.94338,0.82485,0.5267,0.35684,0.84314,1.06148e-05,1.06148e-05,1.06148e-05
94,1486.95,0.6456,0.46537,0.91229,0.95059,0.87549,0.9395,0.82165,0.53426,0.36067,0.84485,9.4367e-06,9.4367e-06,9.4367e-06
95,1503.38,0.63376,0.4686,0.92194,0.95017,0.87603,0.94239,0.82222,0.53862,0.3641,0.84584,8.2586e-06,8.2586e-06,8.2586e-06
96,1517.71,0.62252,0.45321,0.90988,0.9463,0.87621,0.94091,0.82013,0.54044,0.36411,0.84605,7.0805e-06,7.0805e-06,7.0805e-06
97,1533.78,0.61343,0.44838,0.89867,0.94548,0.87707,0.93992,0.82008,0.54236,0.36578,0.84673,5.9024e-06,5.9024e-06,5.9024e-06
98,1547.33,0.61066,0.46162,0.91085,0.94497,0.87723,0.94064,0.81961,0.54286,0.36654,0.8466,4.7243e-06,4.7243e-06,4.7243e-06
99,1563.03,0.62286,0.45164,0.90488,0.94255,0.87694,0.9384,0.81703,0.54556,0.36927,0.84693,3.5462e-06,3.5462e-06,3.5462e-06
100,1578.22,0.62281,0.45706,0.91487,0.94286,0.87617,0.93794,0.81678,0.54654,0.36998,0.84727,2.3681e-06,2.3681e-06,2.3681e-06
