epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3322.23,0.61108,0.44627,0.95589,0.93171,0.90309,0.95012,0.83506,0.52594,0.33164,0.8569,2.94644e-05,2.94644e-05,2.94644e-05
40,3393.51,0.62592,0.4507,0.94122,0.93284,0.90428,0.94939,0.83848,0.52214,0.32678,0.85535,2.71082e-05,2.71082e-05,2.71082e-05
41,3478.76,0.60569,0.41995,0.91436,0.9345,0.89788,0.94873,0.83692,0.52239,0.32383,0.85456,2.4752e-05,2.4752e-05,2.4752e-05
42,3562.53,0.59785,0.39226,0.90099,0.93537,0.89503,0.94564,0.83702,0.52406,0.32617,0.85446,2.23958e-05,2.23958e-05,2.23958e-05
43,3644.84,0.58984,0.39118,0.91503,0.93466,0.89111,0.94631,0.83596,0.52436,0.32719,0.8539,2.00396e-05,2.00396e-05,2.00396e-05
44,3726.77,0.56136,0.37903,0.89298,0.94228,0.88581,0.94566,0.83672,0.52494,0.32628,0.85333,1.76834e-05,1.76834e-05,1.76834e-05
45,3813.03,0.57772,0.37733,0.89116,0.9414,0.8875,0.94573,0.83733,0.5254,0.32503,0.85277,1.53272e-05,1.53272e-05,1.53272e-05
46,3893.81,0.5826,0.38028,0.9114,0.94023,0.88941,0.94507,0.83794,0.52378,0.32271,0.85218,1.2971e-05,1.2971e-05,1.2971e-05
47,3973.57,0.59496,0.37432,0.88891,0.93863,0.89001,0.94495,0.83725,0.52335,0.32131,0.85152,1.06148e-05,1.06148e-05,1.06148e-05
48,4054.12,0.5673,0.3535,0.88964,0.93816,0.89099,0.94488,0.83674,0.52302,0.32011,0.851,8.2586e-06,8.2586e-06,8.2586e-06
49,4129.79,0.55715,0.35317,0.89307,0.93678,0.89072,0.94545,0.83826,0.52231,0.32016,0.85087,5.9024e-06,5.9024e-06,5.9024e-06
50,4210.18,0.59067,0.39075,0.90707,0.93796,0.89111,0.94532,0.83747,0.52398,0.32055,0.85085,3.5462e-06,3.5462e-06,3.5462e-06
