epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,583.614,0.75026,0.56554,0.9986,0.92052,0.86058,0.9147,0.78267,0.64282,0.426,0.88954,2.94644e-05,2.94644e-05,2.94644e-05
40,598.975,0.76525,0.57038,0.98406,0.91662,0.86463,0.91766,0.78518,0.63861,0.42291,0.88794,2.71082e-05,2.71082e-05,2.71082e-05
41,618.906,0.78894,0.68898,0.98733,0.92317,0.86151,0.91673,0.78345,0.64491,0.42852,0.88927,2.4752e-05,2.4752e-05,2.4752e-05
42,633.007,0.79939,0.68895,0.97616,0.92711,0.85867,0.91684,0.78307,0.64962,0.43385,0.89025,2.23958e-05,2.23958e-05,2.23958e-05
43,646.38,0.76302,0.61907,0.97935,0.93067,0.85498,0.91094,0.78049,0.65066,0.43532,0.89032,2.00396e-05,2.00396e-05,2.00396e-05
44,661.524,0.7306,0.55628,0.93967,0.92871,0.85485,0.91124,0.78051,0.65303,0.43535,0.89066,1.76834e-05,1.76834e-05,1.76834e-05
45,674.543,0.75837,0.57114,0.95218,0.92611,0.8562,0.91143,0.78044,0.65402,0.43565,0.89076,1.53272e-05,1.53272e-05,1.53272e-05
46,688.785,0.73557,0.5219,0.97142,0.9223,0.85639,0.91132,0.77834,0.65315,0.43591,0.89102,1.2971e-05,1.2971e-05,1.2971e-05
47,700.781,0.74991,0.55133,0.94386,0.91801,0.85686,0.91165,0.7784,0.65228,0.43911,0.89112,1.06148e-05,1.06148e-05,1.06148e-05
48,717.573,0.72382,0.53103,0.93661,0.91619,0.86098,0.91347,0.77843,0.65208,0.43913,0.89121,8.2586e-06,8.2586e-06,8.2586e-06
49,728.81,0.73309,0.51824,0.94984,0.91568,0.86247,0.91334,0.77978,0.65142,0.43799,0.89094,5.9024e-06,5.9024e-06,5.9024e-06
50,740.035,0.78957,0.5913,0.98151,0.90745,0.8623,0.91223,0.77686,0.65382,0.43867,0.89215,3.5462e-06,3.5462e-06,3.5462e-06
